fn,words,first500
Indobit-A-NYT2009 - Oct 1 - Dec 31-24.txt,"[""artist"", ""photographer"", ""visual artist"", ""fashion photographer""]","
 Irving Penn, one of the 20th century's most prolific and influential
 photographers of fashion and the famous, whose signature blend of classical
 elegance and cool minimalism was recognizable to magazine readers and
 museumgoers worldwide, died Wednesday morning at his home in Manhattan. He was
 92.
 His death was announced by Peter MacGill, his friend and representative.
 Mr. Penn's talent for picturing his subjects with compositional clarity and
 economy earned him the widespread admiration"
Indobit-A-NYT1990_January to June_1001-1500-335.txt,"[""actor"", ""artist"", ""stage actor"", ""performer"", ""television actor""]","
 Barbara Baxley, a stage, film and television actress, was found dead Thursday in
 her Upper West Side apartment. The medical examiner's office said the apparent
 cause of death was a heart attack. She was 63 years old.
 Since her 1948 Broadway debut as a baffled bride in a revival of Noel Coward's
 ''Private Lives,'' starring Tallulah Bankhead and Donald Cook, Miss Baxley
 played a wide variety of roles in productions that ranged from Shakespeare to
 musical comedies.
 In 1960 she played a dif"
Indobit-A-NYT1990_January to June_1001-1500-435.txt,"[""cook"", ""entrepreneur"", ""businessperson"", ""artist"", ""writer"", ""actor"", ""non-fiction writer""]","
 Sarah Wiener, a retired teacher who became an advocate for retired people, died
 on Monday at her daughter's home in Teaneck, N.J. She was 80 years old and lived
 in Brooklyn. Mrs. Wiener died of lung cancer, her husband, Abraham, said.  Mrs.
 Wiener taught in New York high schools for more than 30 years. After retiring in
 the late 1960's she became active in a retired teachers' group, working on a
 supplementary self-insured health program for retirees. That led Albert Shanker
 to ask her to"
Indobit-A-NYT2011-April 1 - June 30-243.txt,"[""artist"", ""operator"", ""technician""]","
 Gunnar Fischer, a cinematographer whose use of stark lighting and sharp focus
 lent mood and psychological depth to a dozen of Ingmar Bergman's early films,
 including ''The Seventh Seal'' and ''Wild Strawberries,'' died on Saturday in
 Stockholm. He was 100.
 His death was confirmed by his son Jens.
 Mr. Fischer worked with Bergman for the first time in 1946, when the two
 collaborated on a test version of ''Crisis'' at Filmstaden, the studios of
 Sweden's main film production company, Svensk"
Indobit-A-NYT2005 - Oct 1 - Dec 31-285.txt,"[""performer"", ""music educator"", ""keyboardist"", ""instrumentalist"", ""artist"", ""researcher"", ""educationalist"", ""musician"", ""scientist""]","
 Constance Keene, a pianist and teacher whose recordings of the Romantic keyboard
 repertory were highly regarded, died on Dec. 24 at Lenox Hill Hospital. She was
 84, and lived in Manhattan.
 Her death was announced by Debra Kinzler, the spokeswoman for the Manhattan
 School of Music, where Ms. Keene has taught since 1969. She also joined the
 school's board of trustees in 1997.
 Ms. Keene maintained a fairly low-key performing career in recent years, but her
 influence as a teacher and occasi"
Indobit-A-NYT1994_1001-1500-441.txt,"[""artist"", ""jazz musician"", ""musician""]"," SANTA MONICA, Calif., Aug. 16
 Gene Cherico, a jazz bassist who played with Benny Goodman, George Shearing and
 Stan Getz and accompanied singers like Peggy Lee and Frank Sinatra, died on
 Friday at a Santa Monica convalescent home. He was 62.
 The cause was non-Hodgkin's lymphoma, his former wife, Mary Lusk, told The Los
 Angeles Times.
 Mr. Cherico began as a drummer and took up bass as therapy after an injury while
 he was in the Army in the early 1950's. He then studied at Berklee College o"
Indobit-A-NYT2000_1-500-186.txt,"[""singer-songwriter"", ""composer"", ""vocal composer"", ""singer"", ""artist"", ""vocalist"", ""musician"", ""writer"", ""poet"", ""songwriter"", ""lyricist""]","
 Jack Scott, a prominent critic of organized athletics during the 1960's and
 early 1970's who later gained national attention when he was suspected of
 helping Patricia Hearst elude capture in the Symbionese Liberation Army case,
 died Sunday night in Eugene, Ore. He was 57.
 He had been suffering from throat cancer.
 Mr. Scott was the captain of his city championship high school football team in
 Scranton, Pa., in the late 1950's and a sprinter at Stanford University. But he
 became disenchan"
Indobit-A-NYT2006_1001-1372-71.txt,"[""manager"", ""screenwriter"", ""director"", ""composer"", ""artist"", ""musician"", ""writer"", ""actor""]"," ROME, Oct. 13
 Gillo Pontecorvo, the Italian filmmaker who explored terrorism and torture in
 colonial Algeria in the powerful and influential 1965 classic, ''The Battle of
 Algiers,'' died here on Thursday. He was 86.
 His death was confirmed by a hospital spokesman, Nicola Cerbino, but no cause
 was given, The Associated Press said. Other news reports said he had suffered a
 heart attack a few months ago.
 A documentary maker for much of his career, Mr. Pontecorvo made only a handful
 of feat"
Indobit-A-NYT2012_1-500-363.txt,"[""instrumentalist"", ""artist"", ""performer"", ""musician""]","
 MERIDIAN, Miss. (AP) -- Chris Ethridge, a founding member of the country-rock
 band ''The Flying Burrito Brothers,'' died here on Monday. He was 65.
 He learned he had pancreatic cancer in September, his family said.
 Mr. Ethridge, a bassist and a songwriter, spent eight years on the road with
 Willie Nelson. He played alongside Gram Parsons in the Flying Burrito Brothers
 and the International Submarine Band and co-wrote several of Mr. Parsons' solo
 tunes.
 In later years, Mr. Ethridge playe"
Indobit-A-NYT1983 - July 1 - Sep 30-252.txt,"[""warrior"", ""bureaucrat"", ""performer"", ""military personnel"", ""official"", ""civil servant"", ""television actor"", ""artist"", ""stage actor"", ""military officer"", ""actor""]","
 Mike Kellin, a character actor whose career on the stage, screen and television
 spanned 35 years, died of lung cancer Friday in Nyack (N.Y.) Hospital. He was 61
 years old and lived in Nyack.
 Mr. Kellin, who was once described as having as having a ''lived-in face,''
 played many tough-guy roles. He appeared in some 50 plays, 75 movies and 200
 television programs.
 In 1976, he won an Obie for his role in David Mamet's ''American Buffalo.'' In a
 review in The New York Times, Mel Gussow said"
Indobit-A-NYT2016_501-1000-183.txt,"[""journalist"", ""war correspondent"", ""screenwriter"", ""writer"", ""reporter"", ""non-fiction writer""]","Mr. Herr, a war correspondent best known for his book ""Dispatches,""
 was also a writer on the films ""Full Metal Jacket"" and ""Apocalypse Now.""
 Michael Herr, who wrote ""Dispatches,"" a glaringly intense, personal account of
 being a correspondent in Vietnam that is widely viewed as one of the most
 visceral and persuasive depictions of the unearthly experience of war, died on
 Thursday at a hospital near his home in Delaware County, N.Y. He was 76.
 His daughter Claudia confirmed the death, saying"
Indobit-A-NYT1999 - July 1 - Sep 30-344.txt,"[""writer""]","
 Chan Richardson Parker, known to many in the jazz world as the last wife of
 Charlie (Bird) Parker, the be-bop innovator, died on Sept. 9 in a hospital in
 Etampes, France, southwest of Paris. She was 74.
 She died of cancer, said Albert Oehrle, the lawyer for her son, Baird Parker.
 She had lived in Champmotteux, south of Paris, since 1971.
 She lived with Parker from 1950 until he died in 1955 at 34, his life cut short
 by alcohol and drug use. Robert Dobrish, the lawyer for Parker's estate,"
Indobit-A-NYT1981 - July 1 - Sep 30-302.txt,"[""film actor"", ""performer"", ""screenwriter"", ""dancer"", ""artist"", ""stage actor"", ""writer"", ""actor""]"," HOLLYWOOD, Sept. 1
 Vera-Ellen, who danced across the screen with such stars as Fred Astaire and
 Gene Kelly during the golden era of Hollywood musicals, died of cancer at the
 University of California at Los Angeles Medical Center on Sunday. She was 55
 years old.
 Vera-Ellen's career began in her teens, when she won a radio talent competition.
 She went on to star on Broadway and in such classic films as ''White Christmas''
 with Bing Crosby and ''On the Town'' with Mr. Kelly and Frank Sinatr"
Indobit-A-NYT1997 - April 1 - June 30-81.txt,"[""poet"", ""writer""]","
 David McCord, who earned renown as an author of children's poetry and also wrote
 adult poetry and prose, died on Sunday in Goddard House, a nursing home in
 Boston. He was 99.
 To generations of Harvard graduates like himself, Mr. McCord was also known as
 the executive director of the Harvard Fund Council, a fund-raising arm of the
 university, and as an editor of the Harvard Alumni Bulletin.
 And while he was also a talented essayist, anthologist, watercolorist and trout
 fisherman, he was "
Indobit-A-NYT2009 - April 1 - June 30-114.txt,"[""journalist"", ""novelist"", ""screenwriter"", ""biographer"", ""writer"", ""non-fiction writer""]","
 Bud Shrake, a Texas sportswriter and novelist who collaborated with the
 legendary golf teacher Harvey Penick on  the best-selling sports title of all
 time, died on Friday in Austin, Tex. He was 77.
 The cause was lung cancer, his son Ben told The Associated Press.
 Mr. Shrake, who began working for Sports Illustrated in the mid-1960s and, with
 writers like Dan Jenkins and Frank Deford, contributed the wild, rambling
 accounts that helped the magazine redefine sports journalism, wrote more t"
Indobit-A-NYT2013- Jan 1 - March 31-32.txt,"[""journalist"", ""non-fiction writer"", ""writer""]","
 It took time for ''What It Takes'' to become a classic.
 A labor of six years and 1,047 pages, the book, by the Pulitzer Prize-winning
 journalist Richard Ben Cramer, appeared in 1992 to mixed reviews. Subtitled
 ''The Way to the White House,'' it was an intimate, deeply reported chronicle of
 the 1988 presidential race.
 Mr. Cramer, who died on Monday at 62 from complications of lung cancer, never
 wrote another book about domestic politics. He later turned to a different
 foundation stone of"
Indobit-A-NYT2007 - July 1 - Sep 30-12.txt,"[""association football player""]","
 Jimmy Walker, an all-American guard at Providence College in the 1960s and a
 two-time N.B.A. All-Star, died Monday in Kansas City, Mo. He was 63.
 The cause was lung cancer, Providence announced.
 Playing for three seasons at Providence, Walker, who was reared in Boston,
 became the college's career  leader with 2,045 points, a record that stood until
 2005, when it was eclipsed by Ryan Gomes. In 1966-67, his senior season, Walker
 led the nation in scoring, averaging 30.4 points a game, and "
Indobit-A-NYT2012_1-500-138.txt,"[""film actor"", ""performer"", ""television actor"", ""artist"", ""stage actor"", ""actor""]","
 Peter Breck, who starred as Barbara Stanwyck's most temperamental son, Nick
 Barkley, in the popular 1960s western series ''The Big Valley,'' died on Monday
 in Vancouver, British Columbia. He was 82 and had lived in Vancouver since the
 1980s.
 His death was confirmed by his wife, Diana.
 Mr. Breck began his acting career shortly after serving in the Navy. He studied
 drama and English at the University of Houston and began appearing in
 productions at the Alley Theater in Houston before movi"
Indobit-A-NYT2016_1-500-19.txt,"[""performer"", ""television actor"", ""artist"", ""stage actor"", ""voice actor"", ""actor""]","
 Jason Wingreen, a character actor best known for playing the genial bartender
 Harry on the hit sitcom ''All in the Family'' and for voicing the bounty hunter
 Boba Fett in the film ''The Empire Strikes Back,'' died on Dec. 25 at his home
 in Los Angeles. He was 95.
 His death was confirmed by his son, Ned.
 A slight man with a powerful voice, Mr. Wingreen acted for more than five
 decades, starting on the stage in the 1940s and ending on television in the
 mid-'90s. He appeared in popular fil"
Indobit-A-NYT1996_501-1000-276.txt,"[""journalist"", ""non-fiction writer"", ""writer""]"," LOS ANGELES, May 24
 Jay Allen, a publicity agent who turned authors into celebrities and their books
 into best sellers by cultivating a mass audience, died on Wednesday at Cedars
 Sinai Medical Center. He was 79.
 He had been hospitalized with pneumonia and heart problems, his associate,
 Michael Dougherty, said.
 In 1968, Mr. Allen began the publicity campaign for Jacqueline Susann's ""Valley
 of the Dolls,"" building sales by concentrating on radio and television
 audiences. Over the years, h"
Indobit-A-NYT1993 - Jan 1 - Feb 28-92.txt,"[""humanities scholar"", ""social scientist"", ""researcher"", ""religious studies scholar"", ""theologian"", ""scientist""]","
 John Davenport, an Emmy Award-winning television journalist who originated the
 show ""Washington Week in Review"" for PBS and served as its moderator in 1966 and
 1967, died on Saturday at his home in Houston. He was 62.
 His son, John Gordon Davenport, said Mr. Davenport had had diabetes.
 The elder Davenport worked in the 1960's for WRC, the NBC television station in
 Washington, and for KABC-TV in Los Angeles, where he covered the trials of
 Robert F. Kennedy's assassin, Sirhan Sirhan, and t"
Indobit-A-NYT1981 - Oct 1 - Dec 31-400.txt,"[""editor""]"," TORONTO, Dec. 21
 Martin Goodman, president of Toronto Star Newspapers Ltd., which publishes
 Canada's largest daily newspaper, died here last night of cancer. He was 46
 years old.
 Mr. Goodman, a native of Montreal and former president of the Canadian Press
 news agency cooperative, was recently named to the Order of Canada, the
 country's highest honor, for his work in journalism and for national unity. A
 former reporter, Mr. Goodman worked his way up in the news operations of The
 Toronto "
Indobit-A-NYT1994_1-500-93.txt,"[""actor"", ""artist"", ""film actor""]"," ANTIGO, Wis., Jan. 11
 John Bradley, the last survivor of the six servicemen in the World War II
 photograph of raising the United States flag on Iwo Jima, died today at Langlade
 Memorial Hospital. He was 70.
 He died of a stroke, said the Bradley Funeral Home, which his family owns.
 The flag-raising, which took place on the summit of Mount Suribachi on Feb. 23,
 1945, four days after the Marines invaded Iwo Jima, was photographed by Joe
 Rosenthal of The Associated Press. The photograph won "
Indobit-A-NYT1987 - Jan 1 - March 31-103.txt,"[""critic"", ""journalist"", ""music journalist"", ""humanities scholar"", ""musicologist"", ""researcher"", ""music critic"", ""writer"", ""non-fiction writer"", ""scientist""]","
 Jack Diether, a music critic who wrote prolifically about the late Romantic
 symphonic repertory, died Thursday of a heart attack. He was 67 years old and
 lived in Manhattan.
 Mr. Diether was best known for his many articles in The American Record Guide,
 of which he was a member of the editorial staff from 1955 to 1984. He also wrote
 regularly for Musical America, Chord and Discord, and other publications. He
 wrote liner notes for hundreds of recordings, including more than 70 on the
 musi"
Indobit-A-NYT2010_501-1000-125.txt,"[""actor"", ""artist"", ""screenwriter"", ""writer""]","
 Suso Cecchi D'Amico, whose spare, literate screenplays made her a favored
 collaborator for directors including Vittorio De Sica, Michelangelo Antonioni,
 Luchino Visconti and Mario Monicelli, died on Saturday in Rome. She was 96.
 Her death was reported by the Italian news agency ANSA.
 Mrs. D'Amico, a translator of English literary texts, took up screenwriting at
 the end of World War II and put her stamp on the documentary style of
 storytelling that became known as neorealism.
 With De Sic"
Indobit-A-NYT2016_1001-1855-309.txt,"[""coach"", ""association football manager"", ""association football player"", ""head coach""]","
 In the golden California summers before World War II, Sammy Lee, a
 Korean-American, was just one of the ''colored'' boys in the Pasadena pool on
 Wednesdays. That was ''International Day,'' when Asian, black and Latino
 children were allowed to swim. After they were gone, the pool was drained and
 refilled with clean water for the white children who came every other day of the
 week.
 Years later, fulfilling a vow to his father, he stood on the high diving
 platform at the Olympic Games in Lo"
Indobit-A-NYT2008_1-500-13.txt,"[""atmospheric scientist"", ""astronomer"", ""academic"", ""researcher"", ""earth scientist"", ""faculty member"", ""planetary scientist"", ""teacher"", ""university teacher"", ""educator"", ""meteorologist"", ""scientist""]","
 Bert Bolin, a pioneering climatologist and the first chairman of the United
 Nations Intergovernmental Panel on Climate Change, which shared the 2007 Nobel
 Peace Prize with former Vice President Al Gore for their warnings about global
 warming, died Sunday in Stockholm. He was 82.
 The cause was stomach cancer, Henning Rodhe, a chemistry professor and colleague
 of Dr. Bolin at Stockholm University, told Agence France-Presse. Professor Rodhe
 said Dr. Bolin (pronounced bo-LEEN) ''was thrilled"
Indobit-A-NYT2005 - Jan 1 - March 31-242.txt,"[""businessperson""]"," DETROIT, March 3
 Max M. Fisher, the Detroit oil and real estate magnate known for his
 philanthropy and for the advice he gave Republican presidents on the Middle East
 and Jewish issues, died on Thursday at his home in Franklin, a Detroit suburb.
 He was 96.
 The death was announced by David Techner, funeral director at the Ira Kaufman
 Chapel.
 Mr. Fisher's fortune was estimated at $775 million last year in Forbes
 magazine's annual ranking of the nation's 400 wealthiest individuals.
 Mr. Fi"
Indobit-A-NYT1995 - Sep 1 - Oct 31-206.txt,"[""official"", ""bureaucrat"", ""civil servant"", ""magistrate"", ""politician""]"," PHILADELPHIA, Oct. 10
 William D. Hutchinson, a Federal appellate court judge, died on Sunday at Johns
 Hopkins Medical Center in Baltimore. He was 63.
 The cause was cancer, said a colleague, Judge Edward R. Becker.
 Judge Hutchinson, who was appointed by President Ronald Reagan to the United
 States Court of Appeals for the Third Circuit in 1987, also served 10 years in
 the Pennsylvania House of Representatives and 5 years on the State Supreme
 Court. He lived in Pottsville, a city in east-c"
Indobit-A-NYT1988_501-1000-101.txt,"[""printmaker"", ""designer"", ""engraver"", ""artist"", ""graphic designer"", ""etcher"", ""visual artist"", ""painter""]","
 Stanley William Hayter, a widely exhibited painter and the most influential
 printmaker of the first half of the century, died of cardiac arrest Wednesday at
 his home in Paris. He was 86 years old.
 He spent the day working on a large painting and was having drinks with friends.
 ''He died in one second,'' his wife, Desiree, said.
 For more than 60 years Mr. Hayter was a remarkably vigorous and influential
 figure. His paintings and prints are distinguished by a graphic force that is
 shared "
Indobit-A-NYT2009 - April 1 - June 30-266.txt,"[""politician""]","
 In the 1970s and '80s, chances were good that anyone traveling the New York
 subways rode at least once in a car emblazoned with ''Iz the Wiz.'' Cryptic but
 euphonious, often abbreviated to the ultraminimal Iz, the signature could be
 seen all over the subway system: fat capital letters spray-painted on a door,
 below a window, across an entire car or even along the full length of a train.
 Iz the Wiz was a legend among graffiti artists, by almost all accounts ''the
 longest-reigning all-city"
Indobit-A-NYT1997 - July 1 - Sep 30-75.txt,"[""chess player""]","
 Miguel Najdorf, a flamboyant poet of the chess pieces who was one of the most
 celebrated grandmasters never to play for the world championship, died on July 4
 in Malaga University Hospital in Malaga, Spain. He was 87 and a beloved figure
 in Buenos Aires.
 The cause was complications from surgery, The Associated Press reported. He had
 been staying at a hotel in the Spanish resort Marbella and underwent the surgery
 on July 4, said Elena Gonzalez, a hospital spokeswoman, without elaborating."
Indobit-A-NYT1988_1-500-237.txt,"[""critic"", ""journalist"", ""music journalist"", ""manager"", ""producer"", ""humanities scholar"", ""entrepreneur"", ""music historian"", ""record producer"", ""director"", ""businessperson"", ""artist"", ""researcher"", ""historian"", ""music critic"", ""musician"", ""musicologist"", ""writer"", ""non-fiction writer"", ""scientist""]","
 Charles Delaunay, a French jazz scholar, died of Parkinson's disease on Tuesday
 near Paris. He was 77 years old.
 Mr. Delaunay, the son of the painters Robert and Sonia Delaunay, established the
 Hot Club of France, an association of jazz enthusiasts, with Hugues Panassie in
 the mid-1930's. The two men started Le Jazz Hot in 1934, now the world's oldest
 jazz magazine, and organized recordings in the 1930's and 1940's by jazz
 musicians such as Bill Coleman, Django Reinhardt, Stephane Grappe"
Indobit-A-NYT2003 - Jan 1 - March 31-163.txt,"[""businessperson""]","
 John Westergaard, a stock picker who built his career on the belief that small
 companies could richly reward investors who went looking for them, died on Jan.
 31 at Calvary Hospice in the Bronx. He was 72.
 The cause was prostate cancer, said his son, Emile Westergaard.
 In addition to spending more than 40 years prospecting for undiscovered small
 company stocks, Mr. Westergaard served as treasurer for Daniel Patrick Moynihan
 from the earliest days of his political career through four Sena"
Indobit-A-NYT1988_501-1000-42.txt,"[""novelist"", ""writer""]","
 Gordon Merrick, a former journalist and the author of 13 novels, died of lung
 cancer in Colombo, Sri Lanka, on March 27. He was 71 years old.
 Mr. Merrick's first novel, ''The Strumpet Wind,'' was published in 1947. His
 best-known book, ''The Lord Won't Mind,'' the first volume in a trilogy,
 appeared on The New York Times best-seller list for 16 weeks in 1970.
 Mr. Merrick was born in Cynwyd, Pa. He left Princeton University in his junior
 year to become an actor. He appeared in the origina"
Indobit-A-NYT2005 - Jan 1 - March 31-101.txt,"[""writer""]","
 Anne Cox, a New York socialite who designed high fashion for high society in the
 1950's and became the mother-in-law of a president's daughter, died on Tuesday
 in Westhampton Beach, N.Y. She was 86 and a resident of Palm Beach, Fla.
 The cause was Lewy body disease, a form of dementia similar to Alzheimer's, her
 son Howard said.
 Mrs. Cox offered her own designs in a boutique on 57th Street in Manhattan. She
 was also an occasional fashion and society columnist for The Herald Tribune and
 a"
Indobit-A-NYT1994_1501-2000-182.txt,"[""golfer""]"," GLENDALE, Calif., Sept. 23
 Jerry Barber, winner of the 1961 PGA Championship and four other professional
 golf tour events, died of heart failure today. He was 78.
 Barber's son Tom said his father suffered a stroke Monday night, precluding
 surgery to repair a faulty heart valve.
 Barber, who played on the tour full time from 1948 to 1962, was a member of the
 United States Ryder Cup teams in 1955 and 1961, serving as captain in the latter
 year. He was also named the PGA's player of the year"
Indobit-A-NYT2001 - April 1 - June 30-291.txt,"[""naturalist"", ""botanist"", ""researcher"", ""librarian"", ""biologist"", ""scientist""]","
 Paul E. Dietrich, an architect and founding member of the firm Cambridge Seven
 Associates in Cambridge, Mass., died on Saturday at a Boston hospital. He was
 75.
 The cause was a heart attack, said his daughter, Andrea Dietrich.
 Mr. Dietrich was born in Hammond, Ind., and attended DePauw University in
 Greencastle, Ind., and the University of Nebraska.
 In studies at Laszlo Moholy-Nagy's Institute of Design in Chicago and the
 Harvard School of Design, where he earned a master's degree in ar"
Indobit-A-NYT1996_1001-1500-107.txt,"[""film actor"", ""performer"", ""television actor"", ""artist"", ""stage actor"", ""actor""]","
 Herbert Edelman, a Brooklyn-born character actor best known for his portrayal of
 archetypal New Yorkers, died on Sunday at the Motion Picture and Television
 Hospital in Woodland Hills, Calif. He was 62 and lived in Oxnard, Calif.
 The cause was emphysema, his family said.
 Mr. Edelman studied acting at Brooklyn College, and headed straight for the
 stage after graduating. He made his professional debut in 1961 with a touring
 company of the Brecht-Weill musical ""The Threepenny Opera,"" taking"
Indobit-A-NYT2004_1-500-265.txt,"[""artist"", ""manager"", ""director""]","
 John Henry Williams, who sent the body of his father, Ted Williams, the Boston
 Red Sox Hall of Famer, to be frozen at an Arizona cryonics laboratory, died on
 Saturday at a hospital in Los Angeles. He was 35.
 The cause was leukemia, his lawyer, Peter Sutton, said.
 Mr. Williams based his decision to have his father's body and head preserved
 separately at the Alcor Life Extension Foundation in Scottsdale, in July 2002,
 on an oil-stained note that he, his father, and sister, Claudia, signed "
Indobit-A-NYT2015- April 1 - June 30-46.txt,"[""economist"", ""social scientist"", ""academic"", ""researcher"", ""scientist"", ""teacher"", ""university teacher"", ""educator"", ""faculty member""]","
 Barbara Bergmann, a pioneer in the study of gender in the economy who herself
 overcame barriers to women in the world of academic economics, died on April 5
 at her home in Bethesda, Md. She was 87.
 Her son, David Martin Bergmann, confirmed her death.
 Ms. Bergmann was an emeritus professor at both American University and the
 University of Maryland, and she continued to research, publish and consult until
 very recently.
 Sixty years ago, Ms. Bergmann did not need to sift through economic d"
Indobit-A-NYT1990_January to June_1001-1500-249.txt,"[""actor"", ""artist"", ""stage actor"", ""performer""]","
 Marguerite Stitt Church, an Illinois Republican who was a member of the House of
 Representatives from 1950 to 1962, died in her sleep on Saturday at her home in
 Evanston, Ill. She was 97 years old.
 In 1950, Mrs. Church won the 13th Congressional seat formerly held by her
 husband, Ralph E. Church, a lawyer, who died in March of that year. In his 14
 years in the House, she was closely associated with him in political campaigns
 and in legislative programs.
 In her 12 years in Congress, Mrs."
Indobit-A-NYT2004_1001-1263-101.txt,"[""chemist"", ""academic"", ""researcher"", ""faculty member"", ""teacher"", ""university teacher"", ""educator"", ""scientist""]","
 Dr. Joseph Weiss, a psychoanalyst and researcher who helped develop an
 influential theory involving ways that patients confront psychological trauma
 and then strive to overcome it, died Nov. 7 at his home in San Francisco. He was
 80.
 The cause was complications of lung cancer, said a daughter, Martha Weiss.
 In five decades of analysis and research, the core of Dr. Weiss's interest was
 his control mastery theory, which holds that patients enter therapy with an
 unconscious intention of ex"
Indobit-A-NYT1994_1001-1500-442.txt,"[""art historian"", ""journalist"", ""humanities scholar"", ""researcher"", ""historian"", ""writer"", ""non-fiction writer"", ""scientist""]","
 Henry Geldzahler, the curator, critic and public official whose enthusiastic
 advocacy of contemporary art made his name synonymous with the art scene in New
 York for three decades, died yesterday at his home in Southampton, L.I. He was
 59.
 The cause was cancer, said Kay Bearman, a longtime friend.
 At once commentator and protagonist , Mr. Geldzahler seemed, for most of the
 period from the 1960's through the 80's, to be at the nexus of art and public
 affairs. He began his career as a cur"
Indobit-A-NYT1988_1-500-291.txt,"[""basketball player""]","
 Ed Roman, who led the 1949-50 City College basketball team to victory in two
 championship tournaments and was later involved in a conspiracy to fix games,
 died of leukemia Tuesday at the Westchester Medical Center in Valhalla, N.Y. He
 was 57 years old.
 Almost a year after the double tournament victories, Mr. Roman pleaded guilty to
 charges of conspiring to fix the outcome of games at Madison Square Garden.
 Mr. Roman was a 6-foot-6-inch, 220-pound center from Taft High School in the
 Bron"
Indobit-A-NYT2006_1001-1372-132.txt,"[""sociologist"", ""social scientist"", ""anthropologist"", ""academic"", ""researcher"", ""faculty member"", ""teacher"", ""university teacher"", ""educator"", ""scientist""]","
 Clifford Geertz, the eminent cultural anthropologist whose work focused on
 interpreting the symbols he believed give meaning and order to people's lives,
 died on Monday in Philadelphia. He was 80 and lived in Princeton, N.J.
 The cause was complications after heart surgery, according to an announcement by
 the Institute for Advanced Study in Princeton, where he had been on the faculty
 since 1970.
 Best known for his theories of culture and cultural interpretation, Mr. Geertz
 was considered"
Indobit-A-NYT1988_1501-1774-54.txt,"[""media professional"", ""presenter"", ""radio personality""]","
 William A. Bennett, a vice president of Dun & Bradstreet who retired in 1974
 after 38 years in the credit-rating field, died yesterday at a nursing home in
 South Kingstown, R.I. Mr. Bennett, who was 76 years old and had been in failing
 health since suffering a stroke four years ago, was for many years a resident of
 Twilight Park in Haines Falls, N.Y.
 A native of Manhattan and a magna cum laude graduate of Amherst College in 1934,
 Mr. Bennett joined the National Credit Office two years la"
Indobit-A-NYT1988_1-500-93.txt,"[""artist"", ""choreographer"", ""dancer"", ""performer""]","
 La Meri, the dancer, teacher, writer and dance ethnologist, died in a San
 Antonio hospital on Jan. 7. She was 89 years old.
 Described as ''the indisputed queen of ethnic dance'' by Walter Sorrell, the
 dance writer, La Meri was long considered the leading American authority on the
 subject, particularly the dance of India and Spain. She toured the world at the
 height of her career, in the 1920's and 30's, studying and performing in South
 and Central America, Europe, Scandinavia, Africa, Au"
Indobit-A-NYT1986_1001-1500-467.txt,"[""bureaucrat"", ""diplomat"", ""civil servant""]"," WASHINGTON, Aug. 15
 Richard L. Sneider, a former United States Ambassador to South Korea and Deputy
 Assistant Secretary of State, died of cancer today at his summer home in
 Brandon, Vt. He was 64 years old and lived in Manhattan.
 As Ambassador to Seoul from 1974 to 1978, Mr. Sneider dealt with disputes then
 growing between the two countries over trade, American military aid and the
 Congressional influence-buying scandal involving Tongsun Park.
 Mr. Sneider himself came under sharp critici"
Indobit-A-NYT1998_501-1000-250.txt,"[""politician""]"," LOS ANGELES, June 5
 Sam Yorty, the blunt-talking, self-promoting Mayor of Los Angeles who took
 credit for building up the city yet denied any responsibility for the Watts
 riots in 1965, died today. He was 88.
 Mr. Yorty had suffered a stroke on May 24, and two days ago asked to be released
 from a hospital. He died at his hilltop home in Studio City section of Los
 Angeles.
 Mr. Yorty also served two terms in Congress, but became a national figure
 because of his tenure in Los Angeles, from "
Indobit-A-NYT2010_501-1000-196.txt,"[""artist"", ""musician""]","
 Daniel P. Davison, a self-described patrician banker and avid yachtsman who took
 the helm of the august, but slipping, United States Trust Company in 1979 and
 revived it by riveting its attention on the very rich, died on Wednesday at his
 family's home, Peacock Point, on Long Island in Locust Valley. He was 85.
 The cause was pancreatic cancer, his wife, Katusha, said.
 In later years Mr. Davison had prominent positions at Christie's, the Burlington
 Northern Railroad and the Metropolitan M"
Indobit-A-NYT2008_501-1000-40.txt,"[""artist"", ""manager"", ""screenwriter"", ""director"", ""writer""]","
 Jean Delannoy, a French director of lavish mid-20th-century film dramas whose
 career suffered after he was publicly reviled by proponents of the New Wave as
 the ultimate anti-auteur, died on Wednesday at his home in Guainville, France,
 west of Paris. He was 100.
 His death was announced by his family, Agence France-Presse reported.
 Mr. Delannoy (pronounced duh-lah-NWAH) won a Palme d'Or, the top prize at  the
 Cannes Film Festival, for his 1946 movie  ''La Symphonie Pastorale,'' based on
 "
Indobit-A-NYT2016_501-1000-23.txt,"[""writer""]","
 On Aug. 18, 2014, a crowd gathered outside the downtown St. Louis office of Jay
 Nixon, the governor of Missouri. The governor, responding to protests in
 Ferguson over the fatal police shooting of Michael Brown, an unarmed black
 teenager, had just activated the National Guard, and the demonstrators outside
 his office were outraged at what they saw as heavy-handed tactics.
 When the police ordered the protesters to leave, nine refused. And so it came to
 pass that Hedy Epstein, wearing a bla"
