fn,firstSentence,confidence
Indobit-A-NYT2002_501-1000-353.txt, a Mark Twain scholar who wrote several books about Twain's life and writings
Indobit-A-NYT2009 - April 1 - June 30-266.txt,
Indobit-A-NYT1988_1-500-237.txt, a French jazz scholar
Indobit-A-NYT1990_January to June_1001-1500-276.txt, retired director of pediatrics at Harlem Hospital and professor emeritus of pediatrics at the Columbia University College of Physicians and Surgeons
Indobit-A-NYT2001 - April 1 - June 30-213.txt, a counselor who was the National Urban League's director of vocational services from 1947 to 1961
Indobit-A-NYT1994_1501-2000-290.txt, the 'D' of DHL Worldwide Express and a pioneer in the air express industry
Indobit-A-NYT1997 - Jan 1 - March 31-97.txt, the last of the triplets who were listed in the Guinness Book of Records as the world's oldest complete set of triplets
Indobit-A-NYT1987 - July 1 - Aug 31-58.txt, who struck down as unconstitutional an Arkansas law that required public schools in Arkansas to teach a creationist account of the origin of life if they taught the theory of evolution
Indobit-A-NYT1985 - Jan 1 - March 31-300.txt," who directed art museums in Virginia, Oregon and Ohio"
Indobit-A-NYT2010_501-1000-52.txt, whose elegant intonation as the public-address announcer at Yankee Stadium for more than half a century personified the image of Yankees grandeur
Indobit-A-NYT1980_1-500-155.txt, former assistant general counsel of the United States Life Insurance Company
Indobit-A-NYT1989 - Nov 1 - Dec 31-31.txt, a retired steel-company executive and philanthropist
Indobit-A-NYT1988_501-1000-63.txt," for the last 55 years a proprietor of Sweet's, the oldest seafood restaurant in New York City"
Indobit-A-NYT2000_1001-1500-16.txt,
Indobit-A-NYT1993 - Nov 1 - Dec 31-138.txt, whose paintings of Presidents and other American themes appeared in galleries nationwide
Indobit-A-NYT1990_January to June_1001-1500-74.txt, a jazz guitarist in the be-bop tradition
Indobit-A-NYT1997 - Jan 1 - March 31-59.txt, a composer whose works were admired for their deft coloration and inherent lyricism
Indobit-A-NYT1985 - April 1 - June 30-30.txt, retired chairman of the Ontario Paper Company Ltd. and a director of the Tribune Company since 1969
Indobit-A-NYT2004_1001-1263-86.txt, who was Donald O'Connor's dance partner in movie musicals like ''This Is the Life'' and ''When Johnny Comes Marching Home
Indobit-A-NYT1981 - Jan 1 - March 31-8.txt, a former world middleweight boxing champion
Indobit-A-NYT1993 - March 1 - April 30-57.txt, a conservative political theorist and professor of English at the University of Dallas
Indobit-A-NYT1992_501-1000-252.txt," an internationally known archeologist who taught at Manhattanville College in Purchase, N.Y., for many years"
Indobit-A-NYT1981 - Oct 1 - Dec 31-146.txt," who collaborated with her husband Will Durant in the 11-volume series ''The Story of Civilization,'' which included the 1968 Pulitzer Prize-winner for general nonfiction, ''Rousseau and Revolution"
Indobit-A-NYT1993 - Sep 1 - Oct 31-341.txt, one of Germany's most daring World War II aces
Indobit-A-NYT1995 - March 1 - April 30-289.txt, professor emeritus of chemistry at City College and a consultant on chemical warfare
Indobit-A-NYT1995 - July 1 - Aug 31-145.txt, a confidant of President Richard M. Nixon who was a loquacious defender of him in the Watergate scandal
Indobit-A-NYT1985 - July 1 - Sep 30-288.txt,
Indobit-A-NYT1994_1501-2000-19.txt, a retired professor of social welfare at Fordham University
Indobit-A-NYT1993 - Sep 1 - Oct 31-146.txt," whose custom-made boots cost up to $3,000 and became a status symbol"
Indobit-A-NYT1983 - Jan 1 - March 31-200.txt, who served as an agent of the Federal Bureau of Investigation for 53 years and worked on the investigation of John Dillinger and other underworld figures
Indobit-A-NYT1998_1-500-6.txt," who with her husband, Henry, donated $100 million to Glassboro State College in 1992"
Indobit-A-NYT1983 - Jan 1 - March 31-17.txt, a prominent patron of the arts in New York City and Washington
Indobit-A-NYT1990_January to June_1001-1500-382.txt, one of 10 people whose arrests and jailing for the firebombing of a grocery store became a rallying point for the civil rights movement
Indobit-A-NYT1987 - July 1 - Aug 31-309.txt, who was one of the victims of her son in the nation's worst mass murder
Indobit-A-NYT2009 - Jan 1 - March 31-217.txt," who with his wife Laura founded Laura Ashley, the international company that fashioned tasteful, mostly floral-print women's clothing and an array of housewares that evoked the genteel aspects of the 19th-century English countryside"
Indobit-A-NYT2002_1-500-353.txt," who directed dozens of westerns, movie serials and television shows and who came up with the idea of choreographing screen fights"
Indobit-A-NYT1992_1001-1500-54.txt, a professor at the London School of Economics and an authority on the Middle East and nationalism
Indobit-A-NYT1985 - July 1 - Sep 30-173.txt, a one-time political ally and confidante of Representative Adam Clayton Powell
Indobit-A-NYT2006_1-500-199.txt, the Romanian-born table tennis great who won six straight world championships in the 1950's
Indobit-A-NYT1989 - March 1 - April 30-79.txt, a stockbroker
Indobit-A-NYT1987 - Jan 1 - March 31-31.txt, a clinical professor of psychiatry at the Downstate Medical Center in Brooklyn for 28 years
Indobit-A-NYT1994_2001-2251-60.txt, who may have been the oldest American
Indobit-A-NYT1988_501-1000-443.txt," a former Mayor of Miami Beach, Fla., who is said to have established the city's first social service agency"
Indobit-A-NYT2000_1-500-346.txt, one of the last surviving grandchildren of John D. Rockefeller and a businessman active in oil and natural gas exploration
Indobit-A-NYT1986_1-500-236.txt, a war hero who became a pacifist
Indobit-A-NYT1988_1-500-249.txt, who was renowned for his work in deciphering the Dead Sea Scrolls but ridiculed for his theories that Western religions were based on the worship of mushrooms
Indobit-A-NYT1987 - Nov 1 - Dec 31-24.txt, a stockbroker
Indobit-A-NYT1984_1001-1500-24.txt, who played the role of Helen Trent from 1944 to 1960 on the radio soap opera ''The Romance of Helen Trent'' and appeared on the early prime-time television program ''Big Town'' with Patrick McVey
Indobit-A-NYT2017-April 1 - June 30-26.txt, whose hit song ''Angel Baby'' was covered by singers including John Lennon and Linda Ronstadt
Indobit-A-NYT2016_501-1000-448.txt, the music executive who built a pop empire on boy bands like the Backstreet Boys and 'NSync before going to prison for running a Ponzi scheme that stole hundreds of millions of dollars from investors
Indobit-A-NYT1988_501-1000-232.txt, director of orthopedic surgery at Bronx Lebanon Hospital Center since 1968
Indobit-A-NYT2001 - April 1 - June 30-338.txt, a diva of mariachi music whose dramatic performances brought fans to tears on both sides of the United States-Mexico border
Indobit-A-NYT1982_501-1000-454.txt, one of the first American physicists to warn of the hazards of radiation
Indobit-A-NYT1994_501-1000-38.txt,
Indobit-A-NYT1988_1001-1500-23.txt, the Baltimore Colts fullback who was famous for scoring the touchdown that beat the Giants in the 1958 National Football League championship game
Indobit-A-NYT1980_501-904-282.txt," a painter who was the stepmother of Senator Claiborne Pell, Democrat of Rhode Island"
Indobit-A-NYT2004_501-1000-458.txt, who won a gold medal for the high jump in the 1956 Olympics and was one of the world's top female athletes in the 1950's
Indobit-A-NYT2001 - July 1 - Sep 30-139.txt, a co-founder of the Grammy-winning pop group the Fifth Dimension
Indobit-A-NYT1996_1001-1500-54.txt, a mystery writer who set most of his 30 books in San Francisco
Indobit-A-NYT1987 - April 1 - June 30-368.txt, a former chairman of the National Bank of Detroit who was a supporter of conservative research organizations
Indobit-A-NYT1989 - Sep 1 - Oct 31-396.txt, the retired director of surgery at Lutheran Medical Center in Brooklyn
Indobit-A-NYT2000_1001-1500-313.txt," a New York neurobiologist who explored the brain's role in human emotions, behavior and disease"
Indobit-A-NYT1989 - Jan 1 - Feb 28-262.txt, chairman of the department of classical languages and literature at the University of Chicago
Indobit-A-NYT1983 - Jan 1 - March 31-323.txt, one of the first Soviet dissident writers to be deprived of Soviet citizenship while abroad
Indobit-A-NYT1996_1-500-229.txt," the former dirt-track stock car racer who built the original Darlington Raceway, the first of the superspeedways on the Nascar circuit"
Indobit-A-NYT1987 - Jan 1 - March 31-64.txt," a writer whose works dealt largely with American minority groups, particularly Indians and Mexican-Americans"
Indobit-A-NYT1991 - Aug 1 - Aug 31-210.txt, who invented the first reliable tuberculosis test and helped improve the safety of intravenous injections
Indobit-A-NYT2007 - July 1 - Sep 30-13.txt,'' Deutsche Grammophon
Indobit-A-NYT1990_January to June_501-1000-65.txt, a welterweight contender whose boxing career ended with the discovery that he had concealed blindness in one eye
Indobit-A-NYT1980_501-904-169.txt, an antiques dealer specializing in Americana
Indobit-A-NYT1986_1001-1500-160.txt, a professor emeritus of physics at Columbia University whose research in solid-state physics led to the development of antimagnetic mine devices in World War II
Indobit-A-NYT1982_1-500-344.txt, who had been director of the former book and education division of The New York Times
Indobit-A-NYT1990_July to December_1-500-21.txt, a singing star of the popular 1950's television show ''Your Hit Parade
Indobit-A-NYT1987 - July 1 - Aug 31-182.txt, a professor of science education at Lehman College
Indobit-A-NYT1999 - Jan 1 - March 31-158.txt, a photographer who documented the remains of the Nazi death camps
Indobit-A-NYT1987 - July 1 - Aug 31-202.txt, an Italian scholar of art and architectural history
Indobit-A-NYT1988_1501-1774-74.txt, a key figure in the design of airplane engines in the years between the two World Wars
Indobit-A-NYT1993 - Jan 1 - Feb 28-98.txt," who wrote more than 50 children's books on science and magic, many of which were translated into other languages"
Indobit-A-NYT1991 - Feb 1 - Feb 28-60.txt, an engineer who helped build New York City's garbage incinerators and landfills
Indobit-A-NYT1990_January to June_501-1000-282.txt, who as ''Suzy Perette'' designed women's clothes in the 1950's and early 1960's
Indobit-A-NYT2006_501-1000-231.txt," who, as the self-styled ''Worldwide Wing Commander'' of Hooters restaurants, known for spicy chicken wings and spicier waitresses, took the company to 46 states and 20 countries"
Indobit-A-NYT1987 - July 1 - Aug 31-276.txt, patriarch emeritus of the Coptic Catholic Church
Indobit-A-NYT2003 - Oct 1 - Dec 31-190.txt, part of a husband-and-wife team of biologists who helped uncover the complex process that takes place when a sperm cell and an egg cell merge to form a fertilized egg
Indobit-A-NYT2002_1001-1513-343.txt, an all-American offensive tackle who played on two national championship Alabama teams in the 1960's
Indobit-A-NYT1984_1001-1500-294.txt, director of dental services at the Judson Health Center in Manhattan from 1948 to 1966
Indobit-A-NYT1997 - July 1 - Sep 30-227.txt, a professor emeritus of religious studies at Yale University
Indobit-A-NYT1983 - Jan 1 - March 31-30.txt, professor of physics at New York University
Indobit-A-NYT2016_501-1000-14.txt, an innovative advertising agency director who helped galvanize civic leaders and government officials to preserve Grand Central Terminal and revive Times Square
Indobit-A-NYT1985 - Oct 1 - Dec 31-386.txt, a retired professor of international trade at New York University
Indobit-A-NYT1985 - Oct 1 - Dec 31-169.txt, a former director of the guidance bureau of the New York City schools
Indobit-A-NYT1990_January to June_1-500-17.txt, general counsel of the Federal Reserve Board from 1945 until his retirement in 1957
Indobit-A-NYT1987 - July 1 - Aug 31-32.txt, a professor emeritus at the Columbia University School of Social Work
Indobit-A-NYT1995 - Jan 1 - Feb 28-361.txt, a biochemistry professor at the University of Pennsylvania who was a pioneer in the identification of the B complex of vitamins and their functions
Indobit-A-NYT1990_January to June_1-500-120.txt, a retired children's librarian in Westchester County
Indobit-A-NYT1982_1501-1630-20.txt," who created the role of Amos in ''Amos 'n Andy,'' the comedy in Negro dialect that was one of the most popular and longest-running programs on radio"
Indobit-A-NYT1991 - Sep 1 - Oct 31-165.txt, a young Sioux Indian who became the subject of a best-selling book on alcohol-related birth defects
Indobit-A-NYT1983 - Jan 1 - March 31-247.txt, one of the developers of an important technique in the diagnosis of heart disease in adults
