c,p,r,rev,y
Longview Fibre,33.5,475.0,487.7,1987.0
Tambrands,69.1,476.0,486.6,1987.0
SCI Systems,13.8,477.0,470.2,1987.0
Scientific-Atlanta,-9.2,478.0,469.1,1987.0
Carlisle,19.7,479.0,466.1,1987.0
Moore McCormack Resources,-121.4,480.0,462.4,1987.0
Seagate Technology,34.5,481.0,459.8,1987.0
Wisconsin Dairies Cooperative,N.A.,482.0,459.2,1987.0
ATCOR,-3.7,483.0,458.4,1987.0
Clevite Industries,11.4,484.0,453.8,1987.0
Millipore,39.1,485.0,443.1,1987.0
Barnes Group,16.6,486.0,439.7,1987.0
Alberto-Culver,8.6,487.0,439.0,1987.0
Noxell,37.1,488.0,438.8,1987.0
Russell,43.3,489.0,437.5,1987.0
Robertshaw Controls,12.8,490.0,436.3,1987.0
Trinity Industries,0.9,491.0,434.3,1987.0
Standard Products,27.2,492.0,433.2,1987.0
Xidex,32.2,493.0,432.3,1987.0
Michigan Milk Prod. Assoc.,N.A.,494.0,431.6,1987.0
Lancaster Colony,2.6,495.0,423.4,1987.0
Allen Group,-8.6,496.0,423.2,1987.0
Bassett Furniture Industries,19.5,497.0,421.6,1987.0
Allied Products,16.2,498.0,420.8,1987.0
Katy Industries,-9.8,499.0,420.5,1987.0
Rochester & Pittsburgh Coal,18.6,500.0,420.2,1987.0
,($ millions),,($ millions),1988.0
General Motors,3551.0,1.0,101782.0,1988.0
Exxon Mobil,4840.0,2.0,76416.0,1988.0
Ford Motor,4625.0,3.0,71643.0,1988.0
Intl. Business Machines,5258.0,4.0,54217.0,1988.0
Mobil,1258.0,5.0,51223.0,1988.0
General Electric,2915.0,6.0,39315.0,1988.0
Texaco,-4407.0,7.0,34372.0,1988.0
AT&T,2044.0,8.0,33598.0,1988.0
DuPont,1786.0,9.0,30468.0,1988.0
Chrysler,1290.0,10.0,26258.0,1988.0
ChevronTexaco,1007.0,11.0,26015.0,1988.0
Altria Group,1842.0,12.0,22279.0,1988.0
Shell Oil,1230.0,13.0,20852.0,1988.0
Amoco,1360.0,14.0,20174.0,1988.0
United Technologies,592.0,15.0,17170.0,1988.0
Occidental Petroleum,240.0,16.0,17096.0,1988.0
Procter & Gamble,327.0,17.0,17000.0,1988.0
Atlantic Richfield,1224.0,18.0,16281.0,1988.0
Nabisco Group Holdings,1209.0,19.0,15868.0,1988.0
Boeing,480.0,20.0,15355.0,1988.0
Tenneco Automotive,-218.0,21.0,15075.0,1988.0
BP America,564.0,22.0,14611.0,1988.0
Marathon Oil,219.0,23.0,13898.0,1988.0
Dow Chemical,1240.0,24.0,13377.0,1988.0
Eastman Kodak,1178.0,25.0,13305.0,1988.0
McDonnell Douglas,313.0,26.0,13146.0,1988.0
Rockwell Automation,635.0,27.0,12123.0,1988.0
Honeywell Intl.,656.0,28.0,11597.0,1988.0
PepsiCo,595.0,29.0,11500.0,1988.0
Lockheed Martin,421.0,30.0,11370.0,1988.0
Kraft,489.0,31.0,11011.0,1988.0
ConocoPhillips,35.0,32.0,10721.0,1988.0
CBS,739.0,33.0,10679.0,1988.0
Xerox,578.0,34.0,10320.0,1988.0
Goodyear Tire & Rubber,771.0,35.0,10123.0,1988.0
Unisys,578.0,36.0,9713.0,1988.0
3M,918.0,37.0,9429.0,1988.0
Digital Equipment,1137.0,38.0,9389.0,1988.0
General Dynamics,437.0,39.0,9344.0,1988.0
Sara Lee,267.0,40.0,9155.0,1988.0
ConAgra Foods,149.0,41.0,9002.0,1988.0
Beatrice,N.A.,42.0,8926.0,1988.0
Sunoco,348.0,43.0,8691.0,1988.0
Georgia-Pacific,458.0,44.0,8603.0,1988.0
ITT Industries,1018.0,45.0,8551.0,1988.0
Unocal,181.0,46.0,8466.0,1988.0
Anheuser-Busch,615.0,47.0,8258.0,1988.0
Caterpillar,350.0,48.0,8180.0,1988.0
Hewlett-Packard,644.0,49.0,8090.0,1988.0
Johnson & Johnson,833.0,50.0,8012.0,1988.0
Alcoa,200.0,51.0,7767.0,1988.0
International Paper,407.0,52.0,7763.0,1988.0
Raytheon,445.0,53.0,7659.0,1988.0
Coca-Cola,916.0,54.0,7658.0,1988.0
Monsanto,436.0,55.0,7639.0,1988.0
LTV,503.0,56.0,7582.0,1988.0
Coastal,113.0,57.0,7414.0,1988.0
Weyerhaeuser,447.0,58.0,6990.0,1988.0
Union Carbide,232.0,59.0,6914.0,1988.0
Ashland,133.0,60.0,6871.0,1988.0
TRW,243.0,61.0,6821.0,1988.0
Motorola,308.0,62.0,6707.0,1988.0
Honeywell,254.0,63.0,6679.0,1988.0
Borden Chemical,267.0,64.0,6514.0,1988.0
Fortune Brands,523.0,65.0,6323.0,1988.0
Baxter International,331.0,66.0,6223.0,1988.0
Emerson Electric,467.0,67.0,6170.0,1988.0
Pillsbury,182.0,68.0,6128.0,1988.0
Northrop Grumman,94.0,69.0,6053.0,1988.0
Ralston Purina,523.0,70.0,5868.0,1988.0
Archer Daniels Midland,265.0,71.0,5775.0,1988.0
Textron,256.0,72.0,5661.0,1988.0
Colgate-Palmolive,54.0,73.0,5648.0,1988.0
NCR,419.0,74.0,5641.0,1988.0
Texas Instruments,309.0,75.0,5595.0,1988.0
Bristol-Myers Squibb,710.0,76.0,5401.0,1988.0
General Mills,222.0,77.0,5208.0,1988.0
PPG Industries,377.0,78.0,5183.0,1988.0
Martin Marietta,231.0,79.0,5165.0,1988.0
Merck,906.0,80.0,5061.0,1988.0
Sealed Air,173.0,81.0,5046.0,1988.0
Wyeth,845.0,82.0,5028.0,1988.0
Pfizer,690.0,83.0,4920.0,1988.0
Bestfoods,355.0,84.0,4903.0,1988.0
Kimberly-Clark,325.0,85.0,4885.0,1988.0
North American Philips,-18.0,86.0,4847.0,1988.0
Amerada Hess,230.0,87.0,4785.0,1988.0
H.J. Heinz,339.0,88.0,4640.0,1988.0
Bethlehem Steel,174.0,89.0,4621.0,1988.0
Champion International,382.0,90.0,4615.0,1988.0
Hoechst Celanese,169.0,91.0,4596.0,1988.0
Whitman,252.0,92.0,4581.0,1988.0
Quaker Oats,244.0,93.0,4539.0,1988.0
Campbell Soup,247.0,94.0,4490.0,1988.0
Fort James,170.0,95.0,4479.0,1988.0
Litton Industries,138.0,96.0,4420.0,1988.0
Abbott Laboratories,633.0,97.0,4388.0,1988.0
Triangle Industries,52.0,98.0,4336.0,1988.0
BASF,131.0,99.0,4334.0,1988.0
US Pharmaceuticals,570.0,100.0,4329.0,1988.0
Reynolds Metals,220.0,101.0,4284.0,1988.0
Mead,218.0,102.0,4209.0,1988.0
Bayer Corporation,123.0,103.0,4199.0,1988.0
Time Warner,250.0,104.0,4194.0,1988.0
Whirlpool,192.0,105.0,4179.0,1988.0
American Cyanamid,276.0,106.0,4166.0,1988.0
Dana,144.0,107.0,4142.0,1988.0
Deere,-99.0,108.0,4135.0,1988.0
Scott Paper,234.0,109.0,4122.0,1988.0
Eaton,201.0,110.0,4054.0,1988.0
Eli Lilly,644.0,111.0,4049.0,1988.0
Firestone Tire & Rubber,145.0,112.0,3867.0,1988.0
OfficeMax,183.0,113.0,3821.0,1988.0
Kellogg,396.0,114.0,3793.0,1988.0
Hanson Industries NA,229.0,115.0,3769.0,1988.0
Owens-Illinois,N.A.,116.0,3715.0,1988.0
Sipco,-18.0,117.0,3692.0,1988.0
Cooper Industries,174.0,118.0,3586.0,1988.0
BorgWarner,N.A.,119.0,3554.0,1988.0
Navistar International,33.0,120.0,3530.0,1988.0
Warner-Lambert,296.0,121.0,3485.0,1988.0
Ryerson Tull,145.0,122.0,3453.0,1988.0
American Standard,127.0,123.0,3439.0,1988.0
AMAX,51.0,124.0,3434.0,1988.0
Control Data,19.0,125.0,3367.0,1988.0
Coca-Cola Enterprises,88.0,126.0,3329.0,1988.0
Grumman,36.0,127.0,3325.0,1988.0
Combustion Engineering,57.0,128.0,3301.0,1988.0
Avon Products,159.0,129.0,3293.0,1988.0
Burlington Industries Equity,N.A.,130.0,3279.0,1988.0
Chiquita Brands Intl.,59.0,131.0,3268.0,1988.0
Agway,N.A.,132.0,3265.0,1988.0
Stone Container,161.0,133.0,3233.0,1988.0
Teledyne,377.0,134.0,3217.0,1988.0
Gillette,230.0,135.0,3167.0,1988.0
Times Mirror,267.0,136.0,3155.0,1988.0
FMC,181.0,137.0,3139.0,1988.0
Dresser Industries,49.0,138.0,3120.0,1988.0
GenCorp,475.0,139.0,3101.0,1988.0
Brunswick,169.0,140.0,3086.0,1988.0
Gannett,319.0,141.0,3079.0,1988.0
USG,204.0,142.0,3046.0,1988.0
ARMCO,118.0,143.0,2927.0,1988.0
Owens Corning,200.0,144.0,2891.0,1988.0
Lever Brothers,7.0,145.0,2856.0,1988.0
Wang Laboratories,-71.0,146.0,2837.0,1988.0
Fruehauf,-42.0,147.0,2785.0,1988.0
Cummins,14.0,148.0,2767.0,1988.0
Schering-Plough,316.0,149.0,2699.0,1988.0
Hercules,821.0,150.0,2693.0,1988.0
Johnson Controls,90.0,151.0,2677.0,1988.0
Apple Computer,218.0,152.0,2661.0,1988.0
Ingersoll-Rand,118.0,153.0,2648.0,1988.0
Quantum Chemical,252.0,154.0,2642.0,1988.0
Furniture Brands Intl.,99.0,155.0,2614.0,1988.0
Kerr-McGee,81.0,156.0,2608.0,1988.0
Great Northern Nekoosa,201.0,157.0,2589.0,1988.0
Farmland Industries,N.A.,158.0,2581.0,1988.0
VF,180.0,159.0,2574.0,1988.0
Pharmacia,305.0,160.0,2521.0,1988.0
FINA,83.0,161.0,2484.0,1988.0
R.R. Donnelley & Sons,218.0,162.0,2483.0,1988.0
Engelhard,70.0,163.0,2479.0,1988.0
Emhart,107.0,164.0,2455.0,1988.0
Hershey Foods,148.0,165.0,2434.0,1988.0
Paccar,113.0,166.0,2424.0,1988.0
Revlon,N.A.,167.0,2398.0,1988.0
Walter Industries,166.0,168.0,2386.0,1988.0
Armstrong Holdings,150.0,169.0,2365.0,1988.0
Zenith Electronics,-19.0,170.0,2363.0,1988.0
AMP,250.0,171.0,2318.0,1988.0
Hormel Foods,46.0,172.0,2314.0,1988.0
Union Camp,208.0,173.0,2308.0,1988.0
Sterling Drug,197.0,174.0,2301.0,1988.0
Pitney Bowes,199.0,175.0,2251.0,1988.0
Kaisertech,-362.0,176.0,2227.0,1988.0
Rohm & Haas,196.0,177.0,2203.0,1988.0
Premark International,72.0,178.0,2197.0,1988.0
Land O'Lakes,N.A.,179.0,2189.0,1988.0
Goodrich,105.0,180.0,2168.0,1988.0
Tribune,142.0,181.0,2160.0,1988.0
Squibb,358.0,182.0,2157.0,1988.0
Air Products & Chem.,156.0,183.0,2140.0,1988.0
Universal,56.0,184.0,2104.0,1988.0
Sherwin-Williams,97.0,185.0,2095.0,1988.0
Corning,208.0,186.0,2084.0,1988.0
Harris,85.0,187.0,2079.0,1988.0
Knight-Ridder,155.0,188.0,2073.0,1988.0
WestPoint Stevens,72.0,189.0,2067.0,1988.0
Manville,73.0,190.0,2063.0,1988.0
Knoll International Holdings,-16.0,191.0,2037.0,1988.0
J.E. Seagram,338.0,192.0,2029.0,1988.0
Masco,219.0,193.0,2023.0,1988.0
Thiokol,138.0,194.0,1987.0,1988.0
Black & Decker,56.0,195.0,1935.0,1988.0
Olin,78.0,196.0,1930.0,1988.0
Baker Hughes,-255.0,197.0,1924.0,1988.0
Louisiana-Pacific,125.0,198.0,1922.0,1988.0
Maytag,153.0,199.0,1909.0,1988.0
Intel,248.0,200.0,1907.0,1988.0
Westvaco,146.0,201.0,1904.0,1988.0
Singer,26.0,202.0,1903.0,1988.0
Parker Hannifin,85.0,203.0,1877.0,1988.0
National Semiconductor,-25.0,204.0,1868.0,1988.0
Mack Trucks,4.0,205.0,1858.0,1988.0
Pennzoil,44.0,206.0,1787.0,1988.0
Tyson Foods,68.0,207.0,1786.0,1988.0
Polaroid,116.0,208.0,1764.0,1988.0
Stanley Works,87.0,209.0,1763.0,1988.0
Fort Howard,158.0,210.0,1758.0,1988.0
McGraw-Hill,165.0,211.0,1751.0,1988.0
Ethyl,193.0,212.0,1720.0,1988.0
Crown Holdings,88.0,213.0,1718.0,1988.0
Illinois Tool Works,106.0,214.0,1698.0,1988.0
New York Times,160.0,215.0,1690.0,1988.0
Aeroquip-Vickers,75.0,216.0,1682.0,1988.0
Springs Industries,56.0,217.0,1661.0,1988.0
Coltec Industries,75.0,218.0,1642.0,1988.0
Imcera Group,21.0,219.0,1638.0,1988.0
J.P. Stevens,56.0,220.0,1615.0,1988.0
Phelps Dodge,206.0,221.0,1612.0,1988.0
General Signal,69.0,222.0,1603.0,1988.0
Temple-Inland,141.0,223.0,1603.0,1988.0
Koppers,11.0,224.0,1591.0,1988.0
Dover,112.0,225.0,1586.0,1988.0
Becton Dickinson,148.0,226.0,1582.0,1988.0
Mapco,108.0,227.0,1581.0,1988.0
Intl. Multifoods,52.0,228.0,1533.0,1988.0
Central Soya,9.0,229.0,1523.0,1988.0
Freeport-McMoran,249.0,230.0,1514.0,1988.0
AMDAHL,146.0,231.0,1505.0,1988.0
Gold Kist Holdings,N.A.,232.0,1500.0,1988.0
MID-AMERICA DAIRYMEN,N.A.,233.0,1500.0,1988.0
Square D,110.0,234.0,1484.0,1988.0
Murphy Oil,-44.0,235.0,1474.0,1988.0
Metaldyne,44.0,236.0,1470.0,1988.0
Avery Dennison,35.0,237.0,1466.0,1988.0
Dean Foods,41.0,238.0,1435.0,1988.0
Willamette Industries,121.0,239.0,1432.0,1988.0
Witco,63.0,240.0,1428.0,1988.0
Cabot,29.0,241.0,1424.0,1988.0
Penn Central,36.0,242.0,1421.0,1988.0
Thomas J. Lipton,109.0,243.0,1413.0,1988.0
Chicago Pacific,35.0,244.0,1412.0,1988.0
Reliance Electric,4.0,245.0,1408.0,1988.0
Tyco Laboratories,72.0,246.0,1407.0,1988.0
Fieldcrest Cannon,-4.0,247.0,1400.0,1988.0
Amstar,24.0,248.0,1400.0,1988.0
Tektronix,51.0,249.0,1396.0,1988.0
Sunbeam/Oster,-451.0,250.0,1390.0,1988.0
National Gypsum,-23.0,251.0,1380.0,1988.0
Arvin Industries,48.0,252.0,1373.0,1988.0
NL Industries,-20.0,253.0,1372.0,1988.0
Sundstrand,35.0,254.0,1366.0,1988.0
Asarco,279.0,255.0,1355.0,1988.0
Molson Coors Brewing,48.0,256.0,1351.0,1988.0
Sequa,N.A.,257.0,1350.0,1988.0
Wilson Foods,6.0,258.0,1348.0,1988.0
Applera,-18.0,259.0,1334.0,1988.0
Weirton Steel,81.0,260.0,1329.0,1988.0
National Service Industries,76.0,261.0,1327.0,1988.0
Hasbro,48.0,262.0,1326.0,1988.0
Washington Post,187.0,263.0,1315.0,1988.0
Dow Jones,203.0,264.0,1314.0,1988.0
Sonoco Products,62.0,265.0,1312.0,1988.0
Dow Corning,135.0,266.0,1303.0,1988.0
Nortek,-7.0,267.0,1303.0,1988.0
Harcourt Brace Jovanovich,91.0,268.0,1291.0,1988.0
Outboard Marine,62.0,269.0,1289.0,1988.0
Crane,59.0,270.0,1284.0,1988.0
Data General,-127.0,271.0,1274.0,1988.0
Norton,67.0,272.0,1261.0,1988.0
Fleetwood Enterprises,40.0,273.0,1259.0,1988.0
Union Texas,56.0,274.0,1257.0,1988.0
Inspiration Resources,25.0,275.0,1243.0,1988.0
Esselte Business Systems,57.0,276.0,1242.0,1988.0
PerkinElmer,56.0,277.0,1236.0,1988.0
Gould,-96.0,278.0,1233.0,1988.0
Bowater,81.0,279.0,1231.0,1988.0
Timken,10.0,280.0,1230.0,1988.0
E-SYSTEMS,60.0,281.0,1227.0,1988.0
Compaq Computer,136.0,282.0,1224.0,1988.0
Lafarge,75.0,283.0,1222.0,1988.0
Foster Wheeler,3.0,284.0,1219.0,1988.0
Maxus Energy,-540.0,285.0,1217.0,1988.0
Triarc,18.0,286.0,1214.0,1988.0
National Starch & Chemical,92.0,287.0,1208.0,1988.0
Armtek,21.0,288.0,1198.0,1988.0
Pennwalt Corp,52.0,289.0,1197.0,1988.0
Tosco,53.0,290.0,1187.0,1988.0
Harsco,63.0,291.0,1169.0,1988.0
Himont,227.0,292.0,1165.0,1988.0
AM International,13.0,293.0,1163.0,1988.0
Certainteed,61.0,294.0,1158.0,1988.0
Farmers Union Central Exch.,N.A.,295.0,1139.0,1988.0
Clorox,105.0,296.0,1126.0,1988.0
Tyco International,27.0,297.0,1116.0,1988.0
American Greetings,63.0,298.0,1103.0,1988.0
Echlin,46.0,299.0,1100.0,1988.0
Tyler,12.0,300.0,1100.0,1988.0
Smurfit-Stone Container,92.0,301.0,1100.0,1988.0
Brown-Forman,90.0,302.0,1098.0,1988.0
Cyclops Industries,-17.0,303.0,1098.0,1988.0
Chesebrough-Pond's,76.0,304.0,1087.0,1988.0
Crown Central,32.0,305.0,1087.0,1988.0
Brockway,41.0,306.0,1082.0,1988.0
Hartmarx,41.0,307.0,1080.0,1988.0
McCormick,31.0,308.0,1079.0,1988.0
Federal-Mogul,41.0,309.0,1075.0,1988.0
Vulcan Materials,116.0,310.0,1063.0,1988.0
Ball,66.0,311.0,1054.0,1988.0
Liz Claiborne,114.0,312.0,1053.0,1988.0
General Cinema,69.0,313.0,1053.0,1988.0
Joy Global,23.0,314.0,1049.0,1988.0
Clark Equipment,-17.0,315.0,1048.0,1988.0
Smithfield Foods,7.0,316.0,1047.0,1988.0
Gerber Products,29.0,317.0,1046.0,1988.0
Tandem Computers,106.0,318.0,1036.0,1988.0
Federal Paper Board,66.0,319.0,1026.0,1988.0
Figgie International,49.0,320.0,1023.0,1988.0
Household Manufacturing,58.0,321.0,1020.0,1988.0
Mattel,-113.0,322.0,1020.0,1988.0
Rubbermaid,85.0,323.0,1015.0,1988.0
Lubrizol,81.0,324.0,1013.0,1988.0
Fruit of the Loom,-13.0,325.0,1013.0,1988.0
Wheeling Pittsburgh,-66.0,326.0,1001.0,1988.0
A.O. Smith,18.0,327.0,999.0,1988.0
Advanced Micro Devices,-48.0,328.0,997.0,1988.0
Champion Spark Plug,19.0,329.0,996.0,1988.0
Potlatch,88.0,330.0,992.0,1988.0
Ecolab,52.0,331.0,989.0,1988.0
Varian Associates,21.0,332.0,983.0,1988.0
York International,28.0,333.0,963.0,1988.0
DR Holdings Inc. of Delaware,65.0,334.0,961.0,1988.0
Seagate Technology,140.0,335.0,958.0,1988.0
MacMillan,71.0,336.0,956.0,1988.0
Tecumseh Products,72.0,337.0,951.0,1988.0
Pacific Resources,6.0,338.0,950.0,1988.0
Deluxe,149.0,339.0,948.0,1988.0
General Instrument,-80.0,340.0,947.0,1988.0
Raychem,74.0,341.0,944.0,1988.0
Bemis,32.0,342.0,930.0,1988.0
Rhone-Poulenc Rorer,54.0,343.0,929.0,1988.0
Aristech Chemical,70.0,344.0,919.0,1988.0
Fisher Scientific Group,31.0,345.0,908.0,1988.0
Fairchild Industries,23.0,346.0,897.0,1988.0
Savannah Foods & Industries,14.0,347.0,879.0,1988.0
Minstar,-3.0,348.0,877.0,1988.0
Ferro,32.0,349.0,871.0,1988.0
Allegheny Technologies,46.0,350.0,867.0,1988.0
A.H. Robins,-1632.0,351.0,856.0,1988.0
Nucor,51.0,352.0,851.0,1988.0
Quaker State,-48.0,353.0,848.0,1988.0
Nalco Chemical,80.0,354.0,842.0,1988.0
Bausch & Lomb,85.0,355.0,840.0,1988.0
GAF,238.0,356.0,837.0,1988.0
Cincinnati Milacron,-80.0,357.0,828.0,1988.0
Interlake,54.0,358.0,823.0,1988.0
Amsted Industries,-19.0,359.0,823.0,1988.0
Memorex Telex,77.0,360.0,822.0,1988.0
Louisiana Land & Exploration,25.0,361.0,819.0,1988.0
Worthington Industries,42.0,362.0,819.0,1988.0
CF Industries,N.A.,363.0,810.0,1988.0
Mohasco,13.0,364.0,807.0,1988.0
Danaher,19.0,365.0,803.0,1988.0
Flowers Industries,28.0,366.0,797.0,1988.0
Cyprus Amax Minerals,26.0,367.0,795.0,1988.0
Pentair,22.0,368.0,789.0,1988.0
Briggs & Stratton,27.0,369.0,785.0,1988.0
Dexter,43.0,370.0,783.0,1988.0
Wm. Wrigley Jr.,70.0,371.0,781.0,1988.0
SPX,26.0,372.0,774.0,1988.0
Metromedia International,63.0,373.0,772.0,1988.0
Anchor Glass Container,20.0,374.0,766.0,1988.0
United Merchants & Mfrs.,-15.0,375.0,762.0,1988.0
Lone Star Industries,57.0,376.0,761.0,1988.0
International Controls,N.A.,377.0,760.0,1988.0
Snap-On,89.0,378.0,754.0,1988.0
Storage Technology,26.0,379.0,750.0,1988.0
Interstate Bakeries,14.0,380.0,749.0,1988.0
Intl. Flavors & Frag.,107.0,381.0,746.0,1988.0
Consolidated Papers,96.0,382.0,743.0,1988.0
Bell & Howell,61.0,383.0,727.0,1988.0
Hillenbrand Industries,57.0,384.0,725.0,1988.0
Ocean Spray,N.A.,385.0,723.0,1988.0
Newell Rubbermaid,37.0,386.0,720.0,1988.0
Insilco,-11.0,387.0,718.0,1988.0
Media General,43.0,388.0,715.0,1988.0
Roper,20.0,389.0,714.0,1988.0
Universal Foods,25.0,390.0,710.0,1988.0
Dennison Manufacturing,34.0,391.0,708.0,1988.0
Georgia Gulf,82.0,392.0,707.0,1988.0
Kaman,24.0,393.0,707.0,1988.0
Allis-Chalmers,-29.0,394.0,699.0,1988.0
Shaw Industries,29.0,395.0,694.0,1988.0
Loral,58.0,396.0,690.0,1988.0
Cray Research,147.0,397.0,687.0,1988.0
Harley-Davidson,21.0,398.0,685.0,1988.0
Eagle-Picher Industries,40.0,399.0,677.0,1988.0
AG Processing,N.A.,400.0,676.0,1988.0
Chesapeake,30.0,401.0,676.0,1988.0
Cooper Tire & Rubber,31.0,402.0,666.0,1988.0
Joy Technologies,N.A.,403.0,665.0,1988.0
Rohr,27.0,404.0,663.0,1988.0
Standard Register,41.0,405.0,660.0,1988.0
Leggett & Platt,38.0,406.0,649.0,1988.0
Pittway,32.0,407.0,649.0,1988.0
C.R. Bard,62.0,408.0,641.0,1988.0
Intergraph,70.0,409.0,641.0,1988.0
Jostens,45.0,410.0,638.0,1988.0
Nerco,60.0,411.0,632.0,1988.0
Bairnco,28.0,412.0,630.0,1988.0
Pullman,18.0,413.0,629.0,1988.0
Valero Energy,13.0,414.0,629.0,1988.0
Cooper Cos.,52.0,415.0,628.0,1988.0
Ametek,41.0,416.0,620.0,1988.0
Westmoreland Coal,-43.0,417.0,617.0,1988.0
Butler Manufacturing,4.0,418.0,615.0,1988.0
Magnetek,5.0,419.0,609.0,1988.0
Warnaco Group,-11.0,420.0,609.0,1988.0
Vista Chemical,-4.0,421.0,609.0,1988.0
Handy & Harman,8.0,422.0,608.0,1988.0
Henley Manufacturing,19.0,423.0,605.0,1988.0
Calmat,78.0,424.0,602.0,1988.0
Thorn Apple Valley,1.0,425.0,602.0,1988.0
Avery,-32.0,426.0,600.0,1988.0
Meredith,34.0,427.0,599.0,1988.0
Coleman,19.0,428.0,599.0,1988.0
Sealy,23.0,429.0,598.0,1988.0
Marion Laboratories,97.0,430.0,597.0,1988.0
H.B. Fuller,26.0,431.0,597.0,1988.0
Philips Industries,33.0,432.0,593.0,1988.0
Texas Industries,1.0,433.0,589.0,1988.0
Mitchell Energy & Devel.,8.0,434.0,588.0,1988.0
California & Hawaiian Sugar,N.A.,435.0,588.0,1988.0
Leslie Fay,20.0,436.0,582.0,1988.0
Hubbell,63.0,437.0,581.0,1988.0
Dixie Yarns,26.0,438.0,581.0,1988.0
Herman Miller,33.0,439.0,574.0,1988.0
Xidex,-45.0,440.0,573.0,1988.0
Kellwood,25.0,441.0,572.0,1988.0
Shaklee,24.0,442.0,572.0,1988.0
Longview Fibre,65.0,443.0,569.0,1988.0
Liquid Air,37.0,444.0,566.0,1988.0
UST,131.0,445.0,565.0,1988.0
Computervision,20.0,446.0,564.0,1988.0
Reynolds & Reynolds,21.0,447.0,563.0,1988.0
Natl. Coop. Refinery Assn.,N.A.,448.0,561.0,1988.0
Harvard Industries,19.0,449.0,559.0,1988.0
Newmont Mining,341.0,450.0,559.0,1988.0
Robertson-Ceco,3.0,451.0,556.0,1988.0
Harte-Hanks Communications,-33.0,452.0,556.0,1988.0
HNI,25.0,453.0,555.0,1988.0
Apollo Computer,22.0,454.0,554.0,1988.0
Oxford Industries,11.0,455.0,553.0,1988.0
SCI Systems,16.0,456.0,553.0,1988.0
Commerce Clearing House,53.0,457.0,552.0,1988.0
Stanadyne,42.0,458.0,544.0,1988.0
M/A-Com,-35.0,459.0,543.0,1988.0
Carlisle,19.0,460.0,543.0,1988.0
Guilford Mills,24.0,461.0,539.0,1988.0
Tambrands,77.0,462.0,539.0,1988.0
Sun Microsystems,36.0,463.0,538.0,1988.0
Jepson,18.0,464.0,530.0,1988.0
Millipore,48.0,465.0,529.0,1988.0
Riceland Foods,26.0,466.0,525.0,1988.0
Faberge,26.0,467.0,524.0,1988.0
Sun-Diamond Growers,N.A.,468.0,523.0,1988.0
Toro,17.0,469.0,521.0,1988.0
Big Three Industries,51.0,470.0,518.0,1988.0
Alberto-Culver,18.0,471.0,515.0,1988.0
Phillips-Van Heusen,20.0,472.0,514.0,1988.0
Georgia Kraft,87.0,473.0,511.0,1988.0
American Maize-Products,13.0,474.0,507.0,1988.0
Coleco Industries,-105.0,475.0,505.0,1988.0
Foxboro,-97.0,476.0,504.0,1988.0
Lukens,22.0,477.0,503.0,1988.0
Medtronic,74.0,478.0,502.0,1988.0
Grow Group,1.0,479.0,502.0,1988.0
Great Lakes Chemical,56.0,480.0,501.0,1988.0
Allied Products,-3.0,481.0,497.0,1988.0
Scientific-Atlanta,24.0,482.0,495.0,1988.0
Atari,57.0,483.0,493.0,1988.0
Trinity Industries,4.0,484.0,491.0,1988.0
Homestake Mining,146.0,485.0,491.0,1988.0
Affiliated Publications,201.0,486.0,490.0,1988.0
Noxell,44.0,487.0,490.0,1988.0
AFG Industries,58.0,488.0,488.0,1988.0
Cameron Iron Works,-110.0,489.0,485.0,1988.0
Carpenter Technology,5.0,490.0,481.0,1988.0
Russell,46.0,491.0,480.0,1988.0
Kimball International,30.0,492.0,477.0,1988.0
Envirodyne Industries,39.0,493.0,476.0,1988.0
Bassett Furniture Industries,22.0,494.0,475.0,1988.0
Sprague Technologies,4.0,495.0,470.0,1988.0
Cleveland-Cliffs,13.0,496.0,467.0,1988.0
Standard Products,32.0,497.0,465.0,1988.0
A. Schulman,20.0,498.0,464.0,1988.0
Western Digital,48.0,499.0,463.0,1988.0
M.A. Hanna,36.0,500.0,459.0,1988.0
,($ millions),,($ millions),1989.0
General Motors,4856.0,1.0,121085.0,1989.0
Ford Motor,5300.0,2.0,92446.0,1989.0
Exxon Mobil,5260.0,3.0,79557.0,1989.0
Intl. Business Machines,5806.0,4.0,59681.0,1989.0
General Electric,3386.0,5.0,49414.0,1989.0
Mobil,2087.0,6.0,48198.0,1989.0
Chrysler,1050.0,7.0,35473.0,1989.0
Texaco,1304.0,8.0,33544.0,1989.0
DuPont,2190.0,9.0,32514.0,1989.0
Altria Group,2337.0,10.0,25860.0,1989.0
ChevronTexaco,1768.0,11.0,25196.0,1989.0
Amoco,2063.0,12.0,21150.0,1989.0
Shell Oil,1239.0,13.0,21070.0,1989.0
Occidental Petroleum,302.0,14.0,19417.0,1989.0
Procter & Gamble,1020.0,15.0,19336.0,1989.0
United Technologies,659.0,16.0,18088.0,1989.0
Atlantic Richfield,1583.0,17.0,17626.0,1989.0
Eastman Kodak,1397.0,18.0,17034.0,1989.0
Boeing,614.0,19.0,16962.0,1989.0
Nabisco Group Holdings,1393.0,20.0,16956.0,1989.0
Dow Chemical,2398.0,21.0,16682.0,1989.0
Xerox,388.0,22.0,16441.0,1989.0
Marathon Oil,756.0,23.0,15792.0,1989.0
Tenneco Automotive,822.0,24.0,15707.0,1989.0
